Date,BRTI,EICH,HDBK,HLL,LART,RELI,SUN,TISC,TITN
2019-02-01,286.64,1986.91,516.95,1718.43,1265.54,553.56,445.15,50.04,1025.2
2019-03-01,300.21,2054.77,577.0,1692.79,1355.93,613.01,478.85,52.1,1141.85
2019-04-01,314.4,2036.83,576.64,1743.27,1319.96,626.3,457.65,55.72,1158.55
2019-05-01,342.37,1994.78,603.49,1773.82,1524.53,598.13,409.85,48.83,1235.75
2019-06-01,340.26,1913.88,608.07,1772.93,1520.27,563.48,400.95,50.44,1334.7
2019-07-01,331.38,1634.81,560.27,1712.48,1357.89,524.42,426.75,43.21,1056.35
2019-08-01,340.41,1625.84,555.61,1866.45,1300.09,561.43,450.4,34.49,1105.1
2019-09-01,360.29,1776.52,612.2,1965.68,1443.0,599.07,389.45,36.05,1273.05
2019-10-01,367.35,2253.81,613.65,2157.5,1441.82,658.47,433.4,38.06,1331.2
2019-11-01,434.3,2288.14,635.89,2018.6,1302.34,697.5,449.85,42.75,1159.7
2019-12-01,447.4,2251.52,634.47,1907.22,1270.68,680.82,432.55,47.21,1187.95
2020-01-01,487.3,2028.93,611.63,2017.56,1340.27,634.77,434.3,43.87,1187.75
2020-02-01,513.85,1660.23,587.36,2156.9,1162.38,597.45,372.9,38.17,1254.5
2020-03-01,432.77,1309.59,429.88,2279.64,791.36,500.82,352.3,26.96,933.7
2020-04-01,504.82,1470.8,499.66,2176.99,878.52,659.21,464.45,29.83,970.05
2020-05-01,542.42,1654.84,474.64,2040.46,912.49,664.73,474.25,29.52,890.0
2020-06-01,549.53,1833.43,531.6,2162.11,923.65,773.54,472.95,32.67,949.85
2020-07-01,544.63,2063.87,515.12,2201.14,894.09,938.32,531.7,36.63,1043.25
2020-08-01,503.64,2092.0,556.54,2108.95,924.92,944.49,520.25,41.3,1100.5
2020-09-01,413.19,2202.8,537.96,2060.05,882.49,1014.24,500.45,35.97,1201.35
2020-10-01,425.76,2085.6,590.31,2063.08,909.79,932.6,465.75,41.06,1165.75
2020-11-01,454.71,2534.65,718.64,2129.72,1119.88,875.99,511.65,57.74,1361.2
2020-12-01,500.31,2530.9,716.37,2385.9,1284.7,901.19,592.35,64.36,1567.15
2021-01-01,543.4,2744.3,693.52,2254.92,1331.7,836.11,586.2,60.1,1420.3
2021-02-01,546.05,2498.6,765.3,2123.59,1439.25,946.81,594.6,71.51,1406.9
2021-03-01,507.77,2603.95,744.97,2421.86,1415.71,909.27,597.8,81.18,1558.05
2021-04-01,526.86,2421.65,704.4,2344.42,1337.43,905.36,654.45,103.4,1491.65
2021-05-01,525.04,2676.15,756.04,2330.77,1464.4,980.62,668.3,112.57,1596.25
2021-06-01,515.96,2671.15,747.09,2461.5,1497.17,958.09,675.45,116.66,1732.5
2021-07-01,551.3,2530.25,711.45,2324.05,1597.85,923.88,773.95,143.43,1714.55
2021-08-01,651.81,2679.25,788.74,2713.3,1668.44,1025.04,794.05,145.02,1921.6
2021-09-01,688.3,2790.2,795.5,2691.08,1699.12,1143.56,818.25,128.89,2161.85
2021-10-01,685.35,2484.8,789.46,2383.66,1762.68,1151.28,795.0,131.6,2383.55
2021-11-01,728.25,2370.45,744.92,2308.36,1760.78,1091.88,753.6,107.12,2375.5
2021-12-01,683.8,2591.9,737.86,2350.79,1891.63,1074.97,845.7,111.14,2522.4
2022-01-01,729.3,2645.5,741.01,2264.73,1904.9,1083.35,834.5,108.56,2360.3
2022-02-01,686.5,2589.8,711.36,2163.49,1812.66,1071.07,843.9,122.07,2546.55
2022-03-01,754.95,2457.15,733.35,2040.53,1763.67,1195.99,914.75,130.72,2536.15
2022-04-01,739.0,2630.35,690.58,2225.99,1690.54,1266.58,928.65,127.11,2458.2
