"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","1,870.80","1,850.10","1,929.10","1,815.30","54.65M","-0.45%"
"01-02-2026","1,879.30","1,968.70","2,057.00","1,870.10","147.10M","-4.54%"
"01-01-2026","1,968.70","2,114.80","2,125.00","1,925.60","117.94M","-6.50%"
"01-12-2025","2,105.60","2,114.70","2,164.00","2,038.00","100.83M","0.19%"
"01-11-2025","2,101.60","2,055.00","2,174.50","1,992.20","247.18M","2.29%"
"01-10-2025","2,054.50","1,868.00","2,110.40","1,848.10","100.43M","9.37%"
"01-09-2025","1,878.40","1,889.00","1,976.80","1,870.00","103.05M","-0.55%"
"01-08-2025","1,888.80","1,914.00","1,964.80","1,845.70","182.27M","-1.33%"
"01-07-2025","1,914.30","2,009.00","2,045.80","1,880.00","112.00M","-4.74%"
"01-06-2025","2,009.60","1,844.00","2,039.00","1,815.00","134.42M","8.26%"
"01-05-2025","1,856.20","1,852.00","1,917.00","1,799.50","232.46M","-0.45%"
"01-04-2025","1,864.50","1,715.00","1,904.30","1,669.40","130.16M","7.56%"
"01-03-2025","1,733.40","1,579.00","1,765.00","1,568.00","127.30M","10.39%"
"01-02-2025","1,570.20","1,627.00","1,728.40","1,559.50","134.03M","-3.45%"
"01-01-2025","1,626.30","1,593.00","1,661.90","1,567.10","101.36M","2.43%"
"01-12-2024","1,587.75","1,627.15","1,687.00","1,563.35","135.79M","-2.42%"
"01-11-2024","1,627.15","1,620.00","1,648.90","1,511.00","111.55M","0.90%"
"01-10-2024","1,612.60","1,705.00","1,742.25","1,602.15","96.78M","-5.67%"
"01-09-2024","1,709.55","1,605.00","1,779.00","1,523.25","139.03M","7.58%"
"01-08-2024","1,589.05","1,485.00","1,608.40","1,422.60","152.12M","6.54%"
"01-07-2024","1,491.55","1,450.00","1,525.00","1,408.45","116.59M","3.29%"
"01-06-2024","1,444.05","1,415.30","1,536.25","1,219.05","228.19M","5.19%"
"01-05-2024","1,372.75","1,315.25","1,407.00","1,258.15","142.40M","3.82%"
"01-04-2024","1,322.30","1,228.00","1,354.00","1,183.10","143.77M","7.63%"
"01-03-2024","1,228.60","1,128.00","1,245.00","1,117.40","132.23M","9.37%"
"01-02-2024","1,123.35","1,165.05","1,175.20","1,097.65","119.13M","-4.04%"
"01-01-2024","1,170.70","1,031.95","1,200.65","1,007.00","123.97M","13.42%"
"01-12-2023","1,032.20","1,015.00","1,045.95","960.00","113.39M","1.72%"
"01-11-2023","1,014.70","903.00","1,018.20","895.45","83.39M","10.97%"
"01-10-2023","914.40","918.25","960.25","900.05","88.73M","-1.30%"
"01-09-2023","926.40","853.15","948.70","852.75","101.41M","8.17%"
"01-08-2023","856.40","894.50","900.55","847.05","95.83M","-3.76%"
"01-07-2023","889.90","880.00","901.40","853.30","107.51M","1.27%"
"01-06-2023","878.75","837.95","883.00","819.00","96.97M","3.39%"
"01-05-2023","849.90","800.25","888.75","773.65","160.48M","6.33%"
"01-04-2023","799.30","755.00","802.05","752.05","70.62M","6.72%"
"01-03-2023","749.00","742.40","795.00","735.80","97.47M","0.91%"
"01-02-2023","742.25","775.95","795.85","738.45","90.58M","-3.64%"
"01-01-2023","770.30","806.25","826.10","751.65","144.54M","-4.44%"
"01-12-2022","806.10","853.00","853.20","760.10","92.55M","-5.03%"
"01-11-2022","848.75","828.00","860.55","804.20","121.21M","2.01%"
"01-10-2022","832.00","803.40","833.80","759.85","95.57M","4.01%"
"01-09-2022","799.90","726.50","809.00","686.20","294.99M","10.09%"
"01-08-2022","726.60","677.95","754.20","677.05","163.67M","7.18%"
"01-07-2022","677.95","684.85","696.60","628.75","134.66M","-1.02%"
"01-06-2022","684.95","701.55","706.20","634.20","135.75M","-2.18%"
"01-05-2022","700.20","734.00","742.95","667.85","175.02M","-5.25%"
"01-04-2022","739.00","759.80","780.70","716.85","113.05M","-2.11%"
"01-03-2022","754.95","684.00","769.90","639.00","151.11M","9.97%"
"01-02-2022","686.50","733.00","735.00","645.45","124.15M","-5.87%"
"01-01-2022","729.30","687.80","754.00","677.35","170.11M","6.65%"
"01-12-2021","683.80","733.00","737.40","645.10","183.49M","-6.10%"
"01-11-2021","728.25","689.95","781.80","689.60","242.96M","6.26%"
"01-10-2021","685.35","687.35","714.65","667.65","211.02M","-0.43%"
"01-09-2021","688.30","655.69","739.12","636.06","504.02M","5.60%"
"01-08-2021","651.81","555.57","655.79","549.68","456.76M","18.23%"
"01-07-2021","551.30","519.25","566.07","510.42","237.75M","6.85%"
"01-06-2021","515.96","527.54","541.34","509.43","179.67M","-1.73%"
"01-05-2021","525.04","520.23","566.37","509.14","255.13M","-0.34%"
"01-04-2021","526.86","510.37","539.86","505.07","180.51M","3.76%"
"01-03-2021","507.77","547.72","548.80","490.34","392.26M","-7.01%"
"01-02-2021","546.05","548.70","611.52","539.08","622.17M","0.49%"
"01-01-2021","543.40","502.81","599.40","498.83","469.36M","8.61%"
