"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","7,620.50","7,800.00","7,996.50","7,571.50","2.02M","-4.87%"
"01-02-2026","8,010.50","7,122.50","8,230.00","6,738.00","11.66M","12.47%"
"01-01-2026","7,122.50","7,317.00","7,613.50","6,851.00","8.14M","-2.60%"
"01-12-2025","7,312.50","7,061.50","7,374.50","7,013.50","10.49M","3.67%"
"01-11-2025","7,053.50","7,030.00","7,284.50","6,670.00","10.76M","0.66%"
"01-10-2025","7,007.00","7,000.00","7,104.50","6,792.00","7.41M","0.02%"
"01-09-2025","7,005.50","6,085.00","7,122.50","6,085.00","13.28M","14.79%"
"01-08-2025","6,103.00","5,551.00","6,269.50","5,475.00","11.89M","11.60%"
"01-07-2025","5,468.50","5,656.50","5,774.50","5,353.00","7.49M","-3.32%"
"01-06-2025","5,656.50","5,340.00","5,685.00","5,219.50","10.29M","6.06%"
"01-05-2025","5,333.50","5,560.00","5,628.00","5,260.50","11.42M","-4.19%"
"01-04-2025","5,567.00","5,365.55","5,906.50","4,999.95","8.88M","4.10%"
"01-03-2025","5,347.70","4,827.00","5,499.85","4,780.90","7.83M","12.03%"
"01-02-2025","4,773.60","5,214.80","5,575.50","4,646.00","12.52M","-8.10%"
"01-01-2025","5,194.30","4,829.00","5,385.70","4,742.45","12.13M","7.72%"
"01-12-2024","4,821.90","4,838.05","4,954.95","4,673.60","7.32M","-0.21%"
"01-11-2024","4,831.85","4,984.85","5,067.00","4,536.05","11.09M","-1.28%"
"01-10-2024","4,894.65","5,026.30","5,045.95","4,508.75","13.91M","-2.62%"
"01-09-2024","5,026.25","4,949.75","5,105.00","4,689.35","11.07M","1.33%"
"01-08-2024","4,960.50","4,970.50","5,023.00","4,548.00","13.54M","-0.04%"
"01-07-2024","4,962.70","4,640.00","5,058.90","4,592.90","12.52M","6.20%"
"01-06-2024","4,672.95","4,800.00","4,976.00","4,253.85","12.58M","-1.28%"
"01-05-2024","4,733.45","4,610.00","4,908.00","4,539.00","9.60M","2.96%"
"01-04-2024","4,597.40","4,060.80","4,689.95","3,886.10","17.73M","14.38%"
"01-03-2024","4,019.30","3,790.20","4,075.00","3,672.00","14.10M","5.98%"
"01-02-2024","3,792.40","3,843.00","4,018.95","3,726.60","13.90M","-1.27%"
"01-01-2024","3,841.35","4,135.15","4,135.15","3,563.90","8.31M","-7.29%"
"01-12-2023","4,143.50","3,922.00","4,200.00","3,847.55","15.14M","6.33%"
