"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","857.05","876.20","887.75","848.00","144.01M","-3.46%"
"01-02-2026","887.75","932.00","994.00","885.00","579.48M","-4.47%"
"01-01-2026","929.25","993.50","1,006.40","905.00","648.48M","-6.25%"
"01-12-2025","991.20","1,017.50","1,017.50","973.30","356.21M","-1.63%"
"01-11-2025","1,007.60","985.00","1,016.80","974.00","362.53M","2.06%"
"01-10-2025","987.30","952.70","1,020.50","946.00","451.64M","3.82%"
"01-09-2025","951.00","949.60","979.65","939.10","406.44M","-0.06%"
"01-08-2025","951.60","1,007.00","1,014.15","950.10","291.98M","-5.70%"
"01-07-2025","1,009.10","1,000.01","1,016.32","974.08","360.70M","1.09%"
"01-06-2025","998.27","962.65","1,011.03","951.63","419.11M","2.91%"
"01-05-2025","970.04","962.51","978.42","941.06","428.07M","1.03%"
"01-04-2025","960.11","898.76","986.99","866.94","537.79M","5.29%"
"01-03-2025","911.83","867.74","919.56","832.95","437.90M","5.53%"
"01-02-2025","864.05","846.64","881.31","828.49","442.10M","1.98%"
"01-01-2025","847.27","884.52","899.49","810.13","512.58M","-4.18%"
"01-12-2024","884.22","899.51","937.67","880.61","439.57M","-1.29%"
"01-11-2024","895.80","864.35","915.77","833.97","952.84M","3.48%"
"01-10-2024","865.70","859.86","882.13","804.50","724.47M","0.21%"
"01-09-2024","863.88","821.36","891.78","809.59","627.19M","5.81%"
"01-08-2024","816.42","809.44","835.90","794.67","1.13B","1.31%"
"01-07-2024","805.87","837.92","894.77","792.05","1.05B","-4.04%"
"01-06-2024","839.81","797.52","856.34","725.20","915.68M","9.94%"
"01-05-2024","763.87","759.11","770.58","711.63","742.39M","0.75%"
"01-04-2024","758.16","727.19","776.77","725.99","724.50M","4.99%"
"01-03-2024","722.15","698.26","733.97","698.26","927.69M","3.17%"
"01-02-2024","699.96","730.71","738.59","680.08","946.02M","-4.04%"
"01-01-2024","729.46","850.88","852.45","688.41","1.22B","-14.43%"
"01-12-2023","852.50","777.02","858.56","774.12","756.53M","9.65%"
"01-11-2023","777.47","729.31","784.27","729.31","586.45M","5.57%"
"01-10-2023","736.42","761.60","775.94","728.31","630.18M","-3.26%"
"01-09-2023","761.26","783.55","832.93","755.62","1.03B","-2.87%"
"01-08-2023","783.77","825.17","831.66","777.27","843.37M","-4.83%"
"01-07-2023","823.55","854.12","876.57","811.56","928.73M","-2.95%"
"01-06-2023","848.59","807.94","852.28","787.54","609.57M","5.62%"
"01-05-2023","803.43","842.25","865.07","796.69","771.63M","-4.55%"
"01-04-2023","841.71","801.78","857.87","799.39","593.45M","4.85%"
"01-03-2023","802.78","804.00","820.93","764.12","562.50M","0.62%"
"01-02-2023","797.81","809.98","838.86","786.69","253.23M","-0.24%"
"01-01-2023","799.76","811.48","849.09","778.06","306.00M","-1.51%"
"01-12-2022","812.05","808.99","832.63","790.76","260.32M","1.22%"
"01-11-2022","802.23","749.88","818.96","742.95","304.52M","7.47%"
"01-10-2022","746.49","703.23","747.14","690.28","228.86M","5.30%"
"01-09-2022","708.91","730.56","768.56","680.81","296.64M","-4.36%"
"01-08-2022","741.21","717.71","755.07","704.72","236.68M","3.62%"
"01-07-2022","715.32","670.31","717.51","663.37","283.97M","6.39%"
"01-06-2022","672.33","688.29","698.64","634.22","233.62M","-2.95%"
"01-05-2022","692.75","679.33","708.49","637.56","401.29M","0.31%"
"01-04-2022","690.58","736.37","858.91","659.48","676.46M","-5.83%"
"01-03-2022","733.35","691.53","757.52","644.40","429.12M","3.09%"
"01-02-2022","711.36","752.38","768.06","701.83","259.27M","-4.00%"
"01-01-2022","741.01","740.66","786.37","715.72","312.80M","0.43%"
"01-12-2021","737.86","745.64","775.60","705.30","225.68M","-0.95%"
"01-11-2021","744.92","790.53","808.99","729.19","259.85M","-5.64%"
"01-10-2021","789.46","789.54","860.36","778.06","250.43M","-0.76%"
"01-09-2021","795.50","785.55","815.72","762.58","257.21M","0.86%"
"01-08-2021","788.74","715.72","789.71","703.25","269.42M","10.86%"
"01-07-2021","711.45","749.14","770.76","700.26","300.78M","-4.77%"
"01-06-2021","747.09","758.26","761.60","725.69","218.27M","-1.18%"
"01-05-2021","756.04","694.77","758.34","686.94","316.83M","7.33%"
"01-04-2021","704.40","747.84","749.96","674.82","471.54M","-5.45%"
