"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","2,225.70","2,303.00","2,354.00","2,219.50","8.35M","-4.81%"
"01-02-2026","2,338.10","2,373.00","2,479.60","2,275.60","33.95M","-1.47%"
"01-01-2026","2,373.00","2,322.00","2,439.00","2,300.00","27.42M","2.47%"
"01-12-2025","2,315.90","2,426.33","2,447.38","2,244.70","37.35M","-4.55%"
"01-11-2025","2,426.33","2,416.00","2,434.49","2,352.95","26.84M","0.04%"
"01-10-2025","2,425.25","2,474.33","2,623.65","2,412.85","31.78M","-1.94%"
"01-09-2025","2,473.35","2,616.37","2,705.10","2,403.11","30.81M","-7.01%"
"01-08-2025","2,659.80","2,550.00","2,748.00","2,473.20","34.65M","5.50%"
"01-07-2025","2,521.20","2,300.00","2,549.00","2,286.60","38.66M","9.88%"
"01-06-2025","2,294.60","2,347.90","2,402.90","2,258.70","35.87M","-2.29%"
"01-05-2025","2,348.30","2,334.10","2,409.50","2,302.30","36.58M","0.26%"
"01-04-2025","2,342.10","2,259.00","2,487.40","2,150.00","46.97M","3.69%"
"01-03-2025","2,258.85","2,199.00","2,296.00","2,136.00","32.43M","3.13%"
"01-02-2025","2,190.25","2,475.00","2,602.00","2,185.85","34.32M","-11.28%"
"01-01-2025","2,468.80","2,325.00","2,479.00","2,253.85","39.88M","6.10%"
"01-12-2024","2,326.85","2,485.00","2,515.00","2,315.25","34.25M","-6.78%"
"01-11-2024","2,496.15","2,533.86","2,539.15","2,375.75","28.80M","-0.88%"
"01-10-2024","2,518.22","2,950.95","2,950.95","2,442.87","38.90M","-14.54%"
"01-09-2024","2,946.57","2,782.92","3,022.96","2,760.66","38.59M","6.49%"
"01-08-2024","2,766.98","2,703.24","2,823.71","2,655.63","36.23M","2.67%"
"01-07-2024","2,694.92","2,451.29","2,800.15","2,440.38","48.62M","9.41%"
"01-06-2024","2,463.24","2,371.56","2,713.15","2,332.81","56.30M","6.18%"
"01-05-2024","2,319.81","2,196.30","2,399.45","2,195.26","44.38M","4.42%"
"01-04-2024","2,221.60","2,261.00","2,288.89","2,163.44","44.32M","-1.50%"
"01-03-2024","2,255.37","2,407.36","2,429.13","2,223.15","44.15M","-6.13%"
"01-02-2024","2,402.73","2,465.28","2,501.59","2,337.44","30.55M","-2.79%"
"01-01-2024","2,471.71","2,653.28","2,658.81","2,356.07","38.05M","-6.85%"
"01-12-2023","2,653.39","2,537.40","2,656.52","2,487.10","36.78M","4.65%"
"01-11-2023","2,535.45","2,475.14","2,544.37","2,453.53","26.47M","2.48%"
"01-10-2023","2,474.15","2,480.13","2,571.76","2,445.91","30.35M","0.75%"
"01-09-2023","2,455.82","2,495.11","2,538.89","2,433.21","31.97M","-1.57%"
"01-08-2023","2,495.11","2,559.81","2,581.47","2,478.23","29.26M","-2.18%"
"01-07-2023","2,550.64","2,676.34","2,758.67","2,542.88","35.07M","-4.38%"
"01-06-2023","2,667.53","2,656.42","2,727.34","2,609.71","25.38M","0.40%"
"01-05-2023","2,656.97","2,462.00","2,669.37","2,440.28","29.74M","8.56%"
"01-04-2023","2,447.55","2,559.81","2,578.28","2,409.41","25.50M","-4.02%"
"01-03-2023","2,550.20","2,448.25","2,558.26","2,383.51","30.31M","4.05%"
"01-02-2023","2,450.89","2,589.89","2,646.91","2,425.99","27.50M","-4.51%"
"01-01-2023","2,566.53","2,563.69","2,682.82","2,517.03","35.60M","0.61%"
"01-12-2022","2,550.89","2,669.37","2,730.73","2,529.33","28.11M","-4.59%"
"01-11-2022","2,673.70","2,558.81","2,687.30","2,418.47","28.51M","5.24%"
"01-10-2022","2,540.58","2,712.20","2,723.16","2,478.13","25.61M","-5.41%"
"01-09-2022","2,685.76","2,639.49","2,718.18","2,498.10","35.82M","1.38%"
"01-08-2022","2,649.30","2,627.04","2,704.23","2,539.89","27.34M","0.85%"
"01-07-2022","2,626.94","2,217.17","2,643.47","2,194.86","43.65M","18.24%"
"01-06-2022","2,221.75","2,360.60","2,404.23","2,091.67","39.28M","-5.21%"
"01-05-2022","2,343.92","2,211.20","2,378.53","2,097.85","39.41M","5.30%"
"01-04-2022","2,225.99","2,046.75","2,280.92","2,030.32","39.29M","9.09%"
"01-03-2022","2,040.53","2,120.51","2,159.35","1,894.01","59.68M","-5.68%"
"01-02-2022","2,163.49","2,294.17","2,323.75","2,111.59","28.16M","-4.47%"
"01-01-2022","2,264.73","2,368.57","2,415.38","2,232.01","35.16M","-3.66%"
"01-12-2021","2,350.79","2,330.72","2,380.42","2,192.42","28.84M","1.84%"
"01-11-2021","2,308.36","2,383.51","2,439.29","2,275.64","32.59M","-3.16%"
