"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","3,949.80","4,061.00","4,141.40","3,760.00","21.55M","-7.68%"
"01-02-2026","4,278.30","3,953.00","4,440.00","3,756.00","45.76M","8.80%"
"01-01-2026","3,932.30","4,090.00","4,195.00","3,720.10","40.43M","-3.70%"
"01-12-2025","4,083.50","4,087.00","4,114.00","3,949.10","27.30M","0.34%"
"01-11-2025","4,069.60","4,030.00","4,140.00","3,831.10","29.95M","0.96%"
"01-10-2025","4,030.90","3,658.90","4,062.60","3,615.00","40.15M","10.16%"
"01-09-2025","3,659.00","3,601.00","3,794.90","3,516.40","37.13M","1.61%"
"01-08-2025","3,601.00","3,636.00","3,727.90","3,531.00","27.43M","-0.98%"
"01-07-2025","3,636.50","3,669.80","3,685.30","3,405.10","40.21M","-0.91%"
"01-06-2025","3,669.80","3,675.10","3,731.40","3,485.90","36.07M","-0.14%"
"01-05-2025","3,675.10","3,325.00","3,695.30","3,284.10","46.40M","10.00%"
"01-04-2025","3,341.00","3,480.00","3,501.60","2,965.30","45.60M","-4.33%"
"01-03-2025","3,492.30","3,165.95","3,528.00","3,153.05","38.60M","10.38%"
"01-02-2025","3,163.85","3,578.00","3,629.20","3,141.00","49.93M","-11.31%"
"01-01-2025","3,567.40","3,600.00","3,724.10","3,395.00","43.85M","-1.12%"
"01-12-2024","3,607.65","3,706.85","3,963.50","3,550.00","38.38M","-3.15%"
"01-11-2024","3,724.80","3,624.95","3,761.00","3,452.45","31.30M","2.83%"
"01-10-2024","3,622.30","3,667.00","3,724.00","3,262.55","55.91M","-1.45%"
"01-09-2024","3,675.55","3,706.00","3,838.80","3,516.40","47.61M","-0.79%"
"01-08-2024","3,704.65","3,810.00","3,838.95","3,511.50","41.13M","-2.89%"
"01-07-2024","3,815.00","3,535.20","3,822.00","3,460.00","63.54M","7.51%"
"01-06-2024","3,548.45","3,855.40","3,919.90","3,175.05","80.60M","-3.29%"
"01-05-2024","3,669.30","3,590.05","3,744.80","3,225.20","74.98M","2.09%"
"01-04-2024","3,594.30","3,780.85","3,860.00","3,472.40","42.60M","-4.51%"
"01-03-2024","3,763.90","3,501.65","3,813.35","3,481.00","44.85M","8.23%"
"01-02-2024","3,477.55","3,480.00","3,513.00","3,263.05","59.15M","-0.06%"
"01-01-2024","3,479.75","3,538.00","3,737.90","3,387.05","47.15M","-1.31%"
"01-12-2023","3,526.00","3,129.95","3,559.95","3,121.05","39.20M","13.41%"
"01-11-2023","3,109.20","2,947.45","3,124.55","2,871.05","30.16M","6.15%"
"01-10-2023","2,929.05","3,040.50","3,114.95","2,856.15","39.72M","-3.13%"
"01-09-2023","3,023.55","2,710.00","3,058.35","2,688.30","46.95M","11.87%"
"01-08-2023","2,702.70","2,675.32","2,766.80","2,586.30","33.19M","1.02%"
"01-07-2023","2,675.32","2,472.62","2,683.95","2,414.55","37.01M","8.31%"
"01-06-2023","2,469.98","2,212.01","2,477.91","2,197.20","37.57M","12.24%"
"01-05-2023","2,200.69","2,367.86","2,410.91","2,163.62","52.04M","-6.71%"
"01-04-2023","2,359.08","2,175.09","2,363.67","2,150.15","33.28M","9.25%"
"01-03-2023","2,159.33","2,095.27","2,241.20","2,095.27","46.05M","2.61%"
"01-02-2023","2,104.40","2,128.20","2,256.91","2,075.62","45.06M","-0.72%"
"01-01-2023","2,119.62","2,088.19","2,292.48","2,053.37","44.60M","1.85%"
"01-12-2022","2,081.11","2,080.56","2,206.62","2,045.49","41.47M","0.53%"
"01-11-2022","2,070.18","2,027.43","2,091.08","1,965.77","35.72M","2.56%"
"01-10-2022","2,018.55","1,847.83","2,030.07","1,809.92","34.53M","9.49%"
"01-09-2022","1,843.54","1,900.71","1,990.51","1,793.36","41.45M","-3.89%"
"01-08-2022","1,918.17","1,803.93","1,939.63","1,769.01","37.82M","6.33%"
"01-07-2022","1,803.98","1,557.44","1,828.38","1,531.15","44.01M","16.03%"
"01-06-2022","1,554.74","1,649.83","1,669.93","1,453.07","45.52M","-5.82%"
"01-05-2022","1,650.78","1,664.85","1,682.16","1,498.62","48.05M","-2.35%"
"01-04-2022","1,690.54","1,755.04","1,853.82","1,648.28","42.95M","-4.15%"
"01-03-2022","1,763.67","1,795.95","1,822.84","1,591.41","54.74M","-2.70%"
"01-02-2022","1,812.66","1,924.31","2,003.48","1,747.06","45.73M","-4.84%"
"01-01-2022","1,904.90","1,890.74","2,073.87","1,845.94","43.32M","0.70%"
"01-12-2021","1,891.63","1,760.03","1,904.70","1,758.08","47.42M","7.43%"
"01-11-2021","1,760.78","1,772.00","1,977.29","1,731.25","59.35M","-0.11%"
"01-10-2021","1,762.68","1,693.68","1,880.76","1,680.26","51.92M","3.74%"
"01-09-2021","1,699.12","1,668.49","1,805.93","1,651.48","45.31M","1.84%"
"01-08-2021","1,668.44","1,602.69","1,681.16","1,559.23","45.59M","4.42%"
"01-07-2021","1,597.85","1,493.73","1,643.44","1,472.18","54.35M","6.72%"
"01-06-2021","1,497.17","1,462.65","1,579.44","1,443.99","56.51M","2.24%"
