"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","1,799.40","1,712.00","1,805.60","1,712.00","16.10M","3.59%"
"01-02-2026","1,737.00","1,640.00","1,792.20","1,590.00","46.67M","8.88%"
"01-01-2026","1,595.30","1,720.00","1,806.60","1,583.70","54.21M","-7.23%"
"01-12-2025","1,719.70","1,841.00","1,849.00","1,707.00","44.55M","-6.11%"
"01-11-2025","1,831.60","1,688.20","1,833.00","1,667.00","35.05M","8.33%"
"01-10-2025","1,690.70","1,611.90","1,722.00","1,600.00","41.12M","6.05%"
"01-09-2025","1,594.30","1,599.00","1,668.10","1,548.00","59.54M","-0.01%"
"01-08-2025","1,594.50","1,690.00","1,695.00","1,567.60","51.61M","-6.57%"
"01-07-2025","1,706.70","1,675.70","1,748.00","1,647.00","42.08M","1.85%"
"01-06-2025","1,675.70","1,679.00","1,727.50","1,636.00","50.80M","-0.11%"
"01-05-2025","1,677.60","1,832.30","1,851.20","1,623.60","66.24M","-8.44%"
"01-04-2025","1,832.30","1,731.00","1,846.00","1,620.10","58.14M","5.63%"
"01-03-2025","1,734.70","1,585.30","1,820.00","1,553.05","39.22M","8.88%"
"01-02-2025","1,593.25","1,740.00","1,789.00","1,586.40","46.14M","-8.64%"
"01-01-2025","1,743.95","1,889.90","1,902.95","1,693.10","44.04M","-7.55%"
"01-12-2024","1,886.35","1,800.00","1,910.00","1,774.05","40.56M","5.92%"
"01-11-2024","1,780.90","1,860.00","1,864.95","1,723.40","38.35M","-3.68%"
"01-10-2024","1,848.90","1,924.85","1,952.25","1,820.00","38.31M","-4.04%"
"01-09-2024","1,926.70","1,829.95","1,960.35","1,801.30","40.92M","5.77%"
"01-08-2024","1,821.65","1,725.50","1,828.15","1,681.30","47.65M","5.95%"
"01-07-2024","1,719.35","1,520.85","1,730.95","1,498.30","42.93M","13.05%"
"01-06-2024","1,520.85","1,496.50","1,538.95","1,377.20","48.28M","4.18%"
"01-05-2024","1,459.80","1,503.00","1,564.00","1,440.00","61.84M","-2.82%"
"01-04-2024","1,502.10","1,631.60","1,638.85","1,477.70","56.46M","-7.31%"
"01-03-2024","1,620.55","1,580.00","1,634.00","1,520.50","53.23M","2.70%"
"01-02-2024","1,577.95","1,427.00","1,587.80","1,398.90","51.28M","11.24%"
"01-01-2024","1,418.45","1,261.00","1,438.90","1,252.50","47.39M","12.62%"
"01-12-2023","1,259.45","1,233.05","1,271.95","1,208.55","39.18M","2.74%"
"01-11-2023","1,225.85","1,092.00","1,231.15","1,082.60","36.59M","12.61%"
"01-10-2023","1,088.60","1,159.55","1,161.95","1,068.35","34.32M","-6.05%"
"01-09-2023","1,158.65","1,112.00","1,167.40","1,102.00","42.06M","4.23%"
"01-08-2023","1,111.60","1,143.40","1,169.70","1,100.25","51.15M","-2.78%"
"01-07-2023","1,143.40","1,053.00","1,155.35","1,028.75","53.68M","8.73%"
"01-06-2023","1,051.60","979.80","1,055.00","975.00","58.61M","7.82%"
"01-05-2023","975.35","987.65","988.90","922.45","62.72M","-1.25%"
"01-04-2023","987.65","981.00","1,023.85","959.25","33.81M","0.46%"
"01-03-2023","983.10","951.00","996.50","946.10","44.63M","2.77%"
"01-02-2023","956.60","1,036.45","1,043.95","954.00","43.09M","-7.53%"
"01-01-2023","1,034.50","1,001.40","1,072.15","987.20","45.28M","3.31%"
"01-12-2022","1,001.40","1,055.00","1,057.85","973.70","57.59M","-4.27%"
"01-11-2022","1,046.05","1,021.95","1,070.95","993.50","46.68M","2.87%"
"01-10-2022","1,016.90","952.95","1,027.30","935.25","51.07M","7.19%"
"01-09-2022","948.65","893.00","955.50","856.80","70.64M","6.23%"
"01-08-2022","893.05","939.95","939.95","865.00","53.12M","-5.32%"
"01-07-2022","943.20","829.90","951.95","821.90","60.09M","13.56%"
"01-06-2022","830.60","875.00","875.00","789.90","61.53M","-3.49%"
"01-05-2022","860.60","922.45","931.30","835.20","88.13M","-7.33%"
"01-04-2022","928.65","914.00","967.05","896.60","38.60M","1.52%"
