"Date","Price","Open","High","Low","Vol.","Change %"
"01-03-2026","4,244.60","4,288.80","4,330.00","4,083.50","3.07M","-1.92%"
"01-02-2026","4,327.50","3,988.00","4,378.40","3,870.40","19.15M","8.80%"
"01-01-2026","3,977.40","4,063.70","4,312.10","3,843.10","19.44M","-1.83%"
"01-12-2025","4,051.50","3,907.70","4,061.90","3,751.00","16.86M","3.68%"
"01-11-2025","3,907.70","3,730.00","3,956.00","3,667.30","16.12M","4.30%"
"01-10-2025","3,746.70","3,370.00","3,800.00","3,351.00","23.40M","11.28%"
"01-09-2025","3,367.00","3,631.00","3,740.00","3,303.10","24.29M","-7.21%"
"01-08-2025","3,628.80","3,340.00","3,672.80","3,307.00","14.48M","8.41%"
"01-07-2025","3,347.30","3,699.00","3,726.50","3,315.50","19.92M","-9.29%"
"01-06-2025","3,690.20","3,525.10","3,709.10","3,383.00","20.19M","3.80%"
"01-05-2025","3,555.00","3,362.10","3,665.00","3,245.50","17.89M","5.19%"
"01-04-2025","3,379.70","3,053.70","3,419.50","2,925.00","19.28M","10.33%"
"01-03-2025","3,063.35","3,090.00","3,205.00","2,985.05","18.44M","-0.45%"
"01-02-2025","3,077.25","3,527.00","3,652.00","3,060.00","18.76M","-11.83%"
"01-01-2025","3,490.25","3,248.00","3,576.70","3,244.05","22.99M","7.29%"
"01-12-2024","3,253.15","3,249.00","3,518.00","3,222.05","20.94M","0.13%"
"01-11-2024","3,249.00","3,304.00","3,369.85","3,106.00","26.24M","-0.55%"
"01-10-2024","3,267.05","3,823.95","3,837.95","3,227.00","22.33M","-14.56%"
"01-09-2024","3,823.95","3,565.15","3,867.00","3,552.00","24.36M","7.26%"
"01-08-2024","3,565.15","3,475.00","3,658.80","3,283.90","25.34M","3.07%"
"01-07-2024","3,458.95","3,382.00","3,552.50","3,126.10","40.87M","1.61%"
"01-06-2024","3,404.20","3,310.00","3,625.00","3,055.65","32.95M","5.01%"
"01-05-2024","3,241.90","3,585.00","3,599.00","3,216.75","33.64M","-9.68%"
"01-04-2024","3,589.25","3,822.95","3,832.55","3,478.25","19.92M","-5.59%"
"01-03-2024","3,801.80","3,630.00","3,838.30","3,547.05","17.38M","4.89%"
"01-02-2024","3,624.40","3,738.00","3,738.00","3,503.00","20.63M","-1.98%"
"01-01-2024","3,697.55","3,689.00","3,886.95","3,642.50","18.25M","0.60%"
"01-12-2023","3,675.45","3,499.00","3,737.00","3,470.00","16.00M","5.30%"
"01-11-2023","3,490.60","3,193.85","3,500.00","3,168.35","17.15M","9.44%"
"01-10-2023","3,189.65","3,148.80","3,329.00","3,075.00","15.64M","1.30%"
"01-09-2023","3,148.80","3,111.95","3,352.00","3,086.30","19.31M","1.43%"
"01-08-2023","3,104.45","3,024.85","3,118.95","2,882.45","20.13M","3.34%"
"01-07-2023","3,004.05","3,050.10","3,210.00","2,950.00","21.34M","-1.43%"
"01-06-2023","3,047.65","2,823.25","3,067.95","2,814.70","17.93M","7.95%"
"01-05-2023","2,823.25","2,657.00","2,841.90","2,633.40","19.89M","6.87%"
"01-04-2023","2,641.85","2,525.90","2,679.30","2,513.30","14.97M","5.05%"
"01-03-2023","2,514.90","2,370.00","2,536.75","2,321.00","19.77M","5.99%"
"01-02-2023","2,372.80","2,408.55","2,545.85","2,269.60","22.29M","-0.18%"
"01-01-2023","2,377.15","2,607.00","2,626.25","2,287.05","22.17M","-8.48%"
"01-12-2022","2,597.50","2,662.00","2,665.00","2,455.00","20.26M","-2.09%"
"01-11-2022","2,653.00","2,770.15","2,784.00","2,539.65","21.80M","-3.93%"
"01-10-2022","2,761.50","2,625.00","2,791.00","2,555.60","24.74M","5.93%"
"01-09-2022","2,606.95","2,592.95","2,755.70","2,517.35","23.02M","0.09%"
"01-08-2022","2,604.65","2,364.80","2,623.10","2,339.00","23.15M","10.74%"
"01-07-2022","2,352.05","1,895.00","2,392.50","1,825.05","35.57M","21.16%"
"01-06-2022","1,941.25","2,255.00","2,304.90","1,905.45","41.12M","-12.40%"
"01-05-2022","2,216.00","2,435.00","2,437.00","2,035.55","35.09M","-9.85%"
"01-04-2022","2,458.20","2,538.00","2,577.80","2,410.00","22.16M","-3.07%"
"01-03-2022","2,536.15","2,550.00","2,768.00","2,325.60","34.62M","-0.41%"
"01-02-2022","2,546.55","2,378.80","2,563.65","2,351.25","28.29M","7.89%"
"01-01-2022","2,360.30","2,510.00","2,687.25","2,260.00","30.10M","-6.43%"
"01-12-2021","2,522.40","2,409.80","2,535.00","2,205.00","25.04M","6.18%"
"01-11-2021","2,375.50","2,441.45","2,572.70","2,231.40","25.97M","-0.34%"
"01-10-2021","2,383.55","2,157.00","2,677.90","2,122.65","49.30M","10.26%"
"01-09-2021","2,161.85","1,925.20","2,185.00","1,915.00","20.77M","12.50%"
"01-08-2021","1,921.60","1,728.00","1,925.00","1,725.00","31.78M","12.08%"
"01-07-2021","1,714.55","1,729.00","1,783.40","1,662.50","22.56M","-1.04%"
"01-06-2021","1,732.50","1,608.00","1,792.95","1,564.20","37.61M","8.54%"
"01-05-2021","1,596.25","1,477.00","1,614.00","1,400.05","41.61M","7.01%"
"01-04-2021","1,491.65","1,560.00","1,618.00","1,451.60","34.93M","-4.26%"
"01-03-2021","1,558.05","1,421.50","1,567.40","1,416.60","37.79M","10.74%"
"01-02-2021","1,406.90","1,437.80","1,588.00","1,396.00","49.75M","-0.94%"
"01-01-2021","1,420.30","1,562.10","1,621.35","1,415.25","42.65M","-9.37%"
"01-12-2020","1,567.15","1,383.00","1,571.00","1,335.00","51.22M","15.13%"
"01-11-2020","1,361.20","1,167.50","1,375.00","1,154.00","66.14M","16.77%"
"01-10-2020","1,165.75","1,203.60","1,281.90","1,155.55","64.20M","-2.96%"
"01-09-2020","1,201.35","1,105.00","1,220.00","1,076.00","62.27M","9.16%"
"01-08-2020","1,100.50","1,047.00","1,159.00","1,043.00","84.49M","5.49%"
"01-07-2020","1,043.25","950.00","1,083.00","941.80","80.10M","9.83%"
"01-06-2020","949.85","898.50","1,050.00","898.50","101.61M","6.72%"
"01-05-2020","890.00","928.50","929.00","810.00","71.93M","-8.25%"
"01-04-2020","970.05","929.70","1,044.00","855.95","82.00M","3.89%"
"01-03-2020","933.70","1,275.00","1,294.00","720.90","72.69M","-25.57%"
"01-02-2020","1,254.50","1,186.85","1,341.05","1,162.55","51.25M","5.62%"
"01-01-2020","1,187.75","1,194.45","1,240.35","1,132.00","46.43M","-0.02%"
"01-12-2019","1,187.95","1,160.00","1,229.00","1,142.50","39.46M","2.44%"
"01-11-2019","1,159.70","1,331.80","1,333.35","1,123.20","60.50M","-12.88%"
"01-10-2019","1,331.20","1,282.00","1,389.95","1,177.05","41.59M","4.57%"
"01-09-2019","1,273.05","1,098.00","1,345.00","1,025.50","51.48M","15.20%"
"01-08-2019","1,105.10","1,052.10","1,131.50","998.00","49.98M","4.61%"
"01-07-2019","1,056.35","1,330.10","1,340.90","1,041.00","81.96M","-20.85%"
"01-06-2019","1,334.70","1,239.00","1,337.05","1,227.50","31.88M","8.01%"
"01-05-2019","1,235.75","1,159.00","1,262.80","1,067.85","53.74M","6.66%"
"01-04-2019","1,158.55","1,140.00","1,165.00","1,083.50","33.90M","1.46%"
"01-03-2019","1,141.85","1,031.90","1,152.00","1,016.20","42.37M","11.38%"
"01-02-2019","1,025.20","1,003.00","1,076.85","985.10","53.69M","2.95%"
