Date,RELI,HDBK,EICH,HLL,BRTI,LART,SUN,TITN,TISC
2019-02-01,553.56,516.95,1986.91,1718.43,286.64,1265.54,445.15,1025.2,50.04
2019-03-01,613.01,577.0,2054.77,1692.79,300.21,1355.93,478.85,1141.85,52.1
2019-04-01,626.3,576.64,2036.83,1743.27,314.4,1319.96,457.65,1158.55,55.72
2019-05-01,598.13,603.49,1994.78,1773.82,342.37,1524.53,409.85,1235.75,48.83
2019-06-01,563.48,608.07,1913.88,1772.93,340.26,1520.27,400.95,1334.7,50.44
2019-07-01,524.42,560.27,1634.81,1712.48,331.38,1357.89,426.75,1056.35,43.21
2019-08-01,561.43,555.61,1625.84,1866.45,340.41,1300.09,450.4,1105.1,34.49
2019-09-01,599.07,612.2,1776.52,1965.68,360.29,1443.0,389.45,1273.05,36.05
2019-10-01,658.47,613.65,2253.81,2157.5,367.35,1441.82,433.4,1331.2,38.06
2019-11-01,697.5,635.89,2288.14,2018.6,434.3,1302.34,449.85,1159.7,42.75
2019-12-01,680.82,634.47,2251.52,1907.22,447.4,1270.68,432.55,1187.95,47.21
2020-01-01,634.77,611.63,2028.93,2017.56,487.3,1340.27,434.3,1187.75,43.87
2020-02-01,597.45,587.36,1660.23,2156.9,513.85,1162.38,372.9,1254.5,38.17
2020-03-01,500.82,429.88,1309.59,2279.64,432.77,791.36,352.3,933.7,26.96
2020-04-01,659.21,499.66,1470.8,2176.99,504.82,878.52,464.45,970.05,29.83
2020-05-01,664.73,474.64,1654.84,2040.46,542.42,912.49,474.25,890.0,29.52
2020-06-01,773.54,531.6,1833.43,2162.11,549.53,923.65,472.95,949.85,32.67
2020-07-01,938.32,515.12,2063.87,2201.14,544.63,894.09,531.7,1043.25,36.63
2020-08-01,944.49,556.54,2092.0,2108.95,503.64,924.92,520.25,1100.5,41.3
2020-09-01,1014.24,537.96,2202.8,2060.05,413.19,882.49,500.45,1201.35,35.97
2020-10-01,932.6,590.31,2085.6,2063.08,425.76,909.79,465.75,1165.75,41.06
2020-11-01,875.99,718.64,2534.65,2129.72,454.71,1119.88,511.65,1361.2,57.74
2020-12-01,901.19,716.37,2530.9,2385.9,500.31,1284.7,592.35,1567.15,64.36
2021-01-01,836.11,693.52,2744.3,2254.92,543.4,1331.7,586.2,1420.3,60.1
2021-02-01,946.81,765.3,2498.6,2123.59,546.05,1439.25,594.6,1406.9,71.51
2021-03-01,909.27,744.97,2603.95,2421.86,507.77,1415.71,597.8,1558.05,81.18
2021-04-01,905.36,704.4,2421.65,2344.42,526.86,1337.43,654.45,1491.65,103.4
2021-05-01,980.62,756.04,2676.15,2330.77,525.04,1464.4,668.3,1596.25,112.57
2021-06-01,958.09,747.09,2671.15,2461.5,515.96,1497.17,675.45,1732.5,116.66
2021-07-01,923.88,711.45,2530.25,2324.05,551.3,1597.85,773.95,1714.55,143.43
2021-08-01,1025.04,788.74,2679.25,2713.3,651.81,1668.44,794.05,1921.6,145.02
2021-09-01,1143.56,795.5,2790.2,2691.08,688.3,1699.12,818.25,2161.85,128.89
2021-10-01,1151.28,789.46,2484.8,2383.66,685.35,1762.68,795.0,2383.55,131.6
2021-11-01,1091.88,744.92,2370.45,2308.36,728.25,1760.78,753.6,2375.5,107.12
2021-12-01,1074.97,737.86,2591.9,2350.79,683.8,1891.63,845.7,2522.4,111.14
2022-01-01,1083.35,741.01,2645.5,2264.73,729.3,1904.9,834.5,2360.3,108.56
2022-02-01,1071.07,711.36,2589.8,2163.49,686.5,1812.66,843.9,2546.55,122.07
2022-03-01,1195.99,733.35,2457.15,2040.53,754.95,1763.67,914.75,2536.15,130.72
2022-04-01,1266.58,690.58,2630.35,2225.99,739.0,1690.54,928.65,2458.2,127.11
2022-05-01,1195.04,692.75,2780.75,2343.92,700.2,1650.78,860.6,2216.0,105.57
2022-06-01,1178.24,672.33,2794.35,2221.75,684.95,1554.74,830.6,1941.25,86.71
2022-07-01,1139.11,715.32,3093.45,2626.94,677.95,1803.98,943.2,2352.05,107.6
2022-08-01,1197.44,741.21,3358.75,2649.3,726.6,1918.17,893.05,2604.65,108.3
2022-09-01,1079.33,708.91,3671.6,2685.76,799.9,1843.54,948.65,2606.95,99.3
2022-10-01,1157.34,746.49,3850.45,2540.58,832.0,2018.55,1016.9,2761.5,101.55
2022-11-01,1239.84,802.23,3484.5,2673.7,848.75,2070.18,1046.05,2653.0,107.65
2022-12-01,1156.25,812.05,3227.75,2550.89,806.1,2081.11,1001.4,2597.5,112.65
2023-01-01,1068.48,799.76,3263.35,2566.53,770.3,2119.62,1034.5,2377.15,119.7
2023-02-01,1054.27,797.81,3105.9,2450.89,742.25,2104.4,956.6,2372.8,103.95
2023-03-01,1058.13,802.78,2948.85,2550.2,749.0,2159.33,983.1,2514.9,104.5
2023-04-01,1098.74,841.71,3301.1,2447.55,799.3,2359.08,987.65,2641.85,107.95
2023-05-01,1121.16,803.43,3671.95,2656.97,849.9,2200.69,975.35,2823.25,105.8
2023-06-01,1157.63,848.59,3580.1,2667.53,878.75,2469.98,1051.6,3047.65,112.0
2023-07-01,1274.63,823.55,3365.5,2550.64,889.9,2675.32,1143.4,3004.05,123.15
2023-08-01,1203.5,783.77,3336.6,2495.11,856.4,2702.7,1111.6,3104.45,122.9
2023-09-01,1172.5,761.26,3446.95,2455.82,926.4,3023.55,1158.65,3148.8,128.9
2023-10-01,1143.95,736.42,3295.55,2474.15,914.4,2929.05,1088.6,3189.65,118.75
2023-11-01,1188.72,777.47,3896.9,2535.45,1014.7,3109.2,1225.85,3490.6,127.9
2023-12-01,1292.47,852.5,4143.5,2653.39,1032.2,3526.0,1259.45,3675.45,139.6
2024-01-01,1426.63,729.46,3841.35,2471.71,1170.7,3479.75,1418.45,3697.55,135.95
2024-02-01,1460.8,699.96,3792.4,2402.73,1123.35,3477.55,1577.95,3624.4,140.85
2024-03-01,1485.85,722.15,4019.3,2255.37,1228.6,3763.9,1620.55,3801.8,155.85
2024-04-01,1467.0,758.16,4597.4,2221.6,1322.3,3594.3,1502.1,3589.25,165.0
2024-05-01,1430.4,763.87,4733.45,2319.81,1372.75,3669.3,1459.8,3241.9,167.2
2024-06-01,1565.4,839.81,4672.95,2463.24,1444.05,3548.45,1520.85,3404.2,174.01
2024-07-01,1505.43,805.87,4962.7,2694.92,1491.55,3815.0,1719.35,3458.95,165.33
2024-08-01,1509.63,816.42,4960.5,2766.98,1589.05,3704.65,1821.65,3565.15,152.76
2024-09-01,1476.57,863.88,5026.25,2946.57,1709.55,3675.55,1926.7,3823.95,168.55
2024-10-01,1332.05,865.7,4894.65,2518.22,1612.6,3622.3,1848.9,3267.05,148.56
2024-11-01,1292.2,895.8,4831.85,2496.15,1627.15,3724.8,1780.9,3249.0,144.54
2024-12-01,1215.45,884.22,4821.9,2326.85,1587.75,3607.65,1886.35,3253.15,138.05
2025-01-01,1265.1,847.27,5194.3,2468.8,1626.3,3567.4,1743.95,3490.25,134.62
2025-02-01,1200.1,864.05,4773.6,2190.25,1570.2,3163.85,1593.25,3077.25,137.2
2025-03-01,1275.1,911.83,5347.7,2258.85,1733.4,3492.3,1734.7,3063.35,154.24
2025-04-01,1405.0,960.11,5567.0,2342.1,1864.5,3341.0,1832.3,3379.7,140.08
2025-05-01,1420.9,970.04,5333.5,2348.3,1856.2,3675.1,1677.6,3555.0,161.02
2025-06-01,1500.6,998.27,5656.5,2294.6,2009.6,3669.8,1675.7,3690.2,159.76
2025-07-01,1390.2,1009.1,5468.5,2521.2,1914.3,3636.5,1706.7,3347.3,157.94
2025-08-01,1357.2,951.6,6103.0,2659.8,1888.8,3601.0,1594.5,3628.8,154.48
2025-09-01,1364.0,951.0,7005.5,2473.35,1878.4,3659.0,1594.3,3367.0,168.77
2025-10-01,1486.4,987.3,7007.0,2425.25,2054.5,4030.9,1690.7,3746.7,182.84
2025-11-01,1567.5,1007.6,7053.5,2426.33,2101.6,4069.6,1831.6,3907.7,167.96
2025-12-01,1570.4,991.2,7312.5,2315.9,2105.6,4083.5,1719.7,4051.5,180.08
2026-01-01,1395.4,929.25,7122.5,2373.0,1968.7,3932.3,1595.3,3977.4,193.13
2026-02-01,1393.9,887.75,8010.5,2338.1,1879.3,4278.3,1737.0,4327.5,212.33
2026-03-01,1404.8,857.05,7620.5,2225.7,1870.8,3949.8,1799.4,4244.6,198.46
